Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
Er2Cr2C3,15.2,0-5 T,,table_only_1stcheck4772.txt,119,"Excellent magnetocaloric performance in the carbide compounds RE2Cr2C3 (RE = Er, Ho, and Dy) and their composites",MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2022.100786,Mp-00494
Ho2Cr2C3,13.98,0-5 T,,table_only_1stcheck4772.txt,329,"Excellent magnetocaloric performance in the carbide compounds RE2Cr2C3 (RE = Er, Ho, and Dy) and their composites",MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2022.100786,Mp-00495
MnCoGe,33.6,7 T,,table_only_1stcheck4795.txt,452,The influence of hydrostatic pressure and annealing conditions on the magnetostructural transitions in MnCoGe,JOURNAL OF APPLIED PHYSICS,10.1063/5.0053671,Mp-00496
HoGa,17.1,0-5 T,69,table_only_1stcheck4811.txt,389,Giant magnetocaloric effect in HoGa compound over a large temperature span,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2009.10.023,Mp-00497
Pr7Pd3,5.5,5 T,14.9,table_only_1stcheck4813.txt,503,Investigation on the Magnetocaloric Effect of the Pr7Pd3 Compound,JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM,10.1007/s10948-017-4489-3,Mp-00498
HoTiO3,5.96,2 T,53,table_only_1stcheck4858.txt,409,Large reversible magnetocaloric effect in HoTiO3 single crystal,JOURNAL OF APPLIED PHYSICS,10.1063/1.3653838,Mp-00499
HoTiO3,11.56,5 T,53,table_only_1stcheck4858.txt,410,Large reversible magnetocaloric effect in HoTiO3 single crystal,JOURNAL OF APPLIED PHYSICS,10.1063/1.3653838,Mp-00500
TbNiAl4,5.1,4 T,,table_only_1stcheck4869.txt,577,Large inverse magnetocaloric effect in single crystal TbNiAl4,"25TH INTERNATIONAL CONFERENCE ON LOW TEMPERATURE PHYSICS (LT25), PART 4: QUANTUM PHASE TRANSITIONS AND MAGNETISM",10.1088/1742-6596/150/4/042113,Mp-00501
NCMNO3,1.88,7 T,,table_only_1stcheck4877.txt,458,Configuring Nd0.7Ca0.3Mn1-xNixO3 perovskite nanocomposites with magnetocaloric performance,CERAMICS INTERNATIONAL,10.1016/j.ceramint.2022.08.254,Mp-00502
YbTiO3,2.47,1.5 T,42,table_only_1stcheck4883.txt,610,Magnetocaloric properties of single crystalline YbTiO3 with second order phase transition,"26TH INTERNATIONAL CONFERENCE ON LOW TEMPERATURE PHYSICS (LT26), PTS 1-5",10.1088/1742-6596/400/3/032093,Mp-00503
YbTiO3,5.25,5.0 T,42,table_only_1stcheck4883.txt,611,Magnetocaloric properties of single crystalline YbTiO3 with second order phase transition,"26TH INTERNATIONAL CONFERENCE ON LOW TEMPERATURE PHYSICS (LT26), PTS 1-5",10.1088/1742-6596/400/3/032093,Mp-00504
TbMnO3,19.2,7 T,,table_only_1stcheck4886.txt,567,Understanding the large rotating magnetocaloric effect in TbMn1-xFexO3 single crystals upon q-Fermi Dirac nonextensive statistics,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2017.09.049,Mp-00505
GdVO4,45,7 T,,table_only_1stcheck4921.txt,318,Size-dependent magnetocaloric effect in GdVO4 nanoparticles,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2021.162351,Mp-00506
Ho2O3,22.4,5 T,,table_only_1stcheck4948.txt,50,Magnetocaloric effect in rare earth Ho2O3 nanoparticles at cryogenic temperature,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.166391,Mp-00507
ErRuSi,21.2,50 kOe,8,table_only_1stcheck4952.txt,167,Giant low field magnetocaloric effect in soft ferromagnetic ErRuSi,APPLIED PHYSICS LETTERS,10.1063/1.4775690,Mp-00508
EuAgCd,13.5,0-5 T,27,table_only_1stcheck4966.txt,173,"Magnetic and magnetocaloric properties of the equiatomic europium intermetallics EuAgZn, EuAgCd, EuPtZn and EuAuCd",INTERMETALLICS,10.1016/j.intermet.2020.106765,Mp-00509
EuAuCd,13.7,0-5 T,22,table_only_1stcheck4966.txt,176,"Magnetic and magnetocaloric properties of the equiatomic europium intermetallics EuAgZn, EuAgCd, EuPtZn and EuAuCd",INTERMETALLICS,10.1016/j.intermet.2020.106765,Mp-00510
HoCoGe,23.9,5 T,7.6,table_only_1stcheck5007.txt,232,Giant low-field reversible magnetocaloric effect in HoCoGe compound,RSC ADVANCES,10.1039/c6ra24527g,Mp-00511
MnCoP,6,nan T,575,table_only_1stcheck5022.txt,295,A Simple Computational Proxy for Screening Magnetocaloric Compounds,CHEMISTRY OF MATERIALS,10.1021/acs.chemmater.6b04729,Mp-00512
GdTiGe,1.1,2 T,340-380,table_only_1stcheck5026.txt,212,LARGE MAGNETOCALORIC EFFECT NEAR WATER BOILING POINT IN RARE-EARTH BASED INTERMETALLICS,6TH IIR/IIF INTERNATIONAL CONFERENCE ON MAGNETIC REFRIGERATION (THERMAG VI),nan,Mp-00513
Ho6Co2Ga,10.1,5.0 T,,table_only_1stcheck5046.txt,223,"First- and second-order phase transitions in RE6Co2Ga (RE = Ho, Dy or Gd) cryogenic magnetocaloric materials",SCIENCE CHINA-MATERIALS,10.1007/s40843-021-1711-5,Mp-00514
DyFeO3,11.4,50 kOe,,table_only_1stcheck5057.txt,63,"A comparative study on magnetic behaviors and magnetocaloric effect in heavy rare-earth antiferromagnetic orthoferrites RFeO3 (R = Dy, Ho and Er)",CERAMICS INTERNATIONAL,10.1016/j.ceramint.2021.09.059,Mp-00515
